id,track.name,track.album.name,energy,danceability,acousticness,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
07aDFrAVLD02sKGzlZby46,Haja Amor,Lá Vem O Guarda,0.786,0.835,0.247,0.0000849,0,0.0615,-5.94,1,0.0764,137.59,4,0.962
07q51cMw9IyDfZ7Jk08S6z,Bumbum Check,Bumbum Check,0.77,0.68,0.0226,0.000307,4,0.0906,-4.152,1,0.183,128.376,5,0.32
0858v6u1WpCkwHvRHf6vj5,Cabelo Raspadinho - Ao Vivo,Só as Antigas (Ao Vivo),0.968,0.489,0.0774,0,0,0.635,-5.168,0,0.103,178.081,4,0.658
08bRUmisdtmcWvt4Gr6hnD,Simmer Down Quashie,The Best of The Pioneers,0.516,0.872,0.268,0.00425,10,0.218,-10.467,1,0.0587,110.979,4,0.961
08mG3Y1vljYA6bvDt4Wqkj,Back In Black,Back In Black,0.7,0.31,0.011,0.00965,9,0.0828,-5.678,1,0.047,188.386,4,0.763
08Tye5xhgdbF40tsL59Zeh,Daquele Jeito,Harmonia Do Samba - Ao Vivo Em Brasília,0.663,0.583,0.571,0,1,0.592,-8.85,0,0.0998,126.098,4,0.341
09h91oP3t1c5fSEI5P6maS,Quero Ser Feliz Também,Nossa Missão,0.463,0.74,0.168,0.0001,8,0.317,-9.366,0,0.0433,172.047,4,0.853
0abrd2vT2W3JZBDNezUY7r,Deixa Tudo Como Tá - Ao Vivo,VIBE (Ao Vivo),0.516,0.691,0.397,0,4,0.711,-9.437,1,0.156,142.848,4,0.56
0Ag9E63a02DqzwiCum4761,Hoje Ela Já Chorou - Acústico,Cheiro do Mato (Acústico),0.773,0.59,0.608,0,9,0.218,-5.933,0,0.0344,134.993,4,0.639
0AlW6XHtvPH5aG137WGMs1,Sit Down and Cry Over You,Ska & Reggae Classics,0.567,0.705,0.0847,0.213,5,0.101,-8.973,1,0.0376,95.378,4,0.713
0arj30cYUXjTczhzA4Jzmn,Me Leva Junto Com Você / Vento dos Areais / Eu e Ela,Salgadinho Experience Ao Vivo - Vol 1,0.588,0.375,0.331,0,7,0.135,-10.822,1,0.0456,86.604,4,0.357
0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),Kind Of Blue (Legacy Edition),0.0162,0.421,0.808,0.0024,2,0.0978,-25.358,0,0.0388,110.479,4,0.154
0AyNC0zlef2QbJ01Xfq8Wf,"The Nutcracker, Op. 71, TH.14 / Act 2: No. 12b Coffee (Arabian Dance)",Tchaikovsky: The Nutcracker,0.00709,0.156,0.941,0.799,7,0.0986,-34.153,0,0.0382,97.925,3,0.041
0b18g3G5spr4ZCkz7Y6Q0Q,Rasputin,Rasputin,0.913,0.758,0.00364,0.0000692,6,0.193,-2.926,0,0.113,128.04,4,0.658
0b8F5Pv3iny2YbIC7zYu8U,Fica Combinado Assim - Ao Vivo,É Diferente (Ao Vivo),0.701,0.661,0.384,0,7,0.706,-9.471,0,0.0392,139.96,4,0.602
0bCjpcumbK9YogOEDUUuPq,Senta Concentrada (feat. MC Ws),Senta Concentrada,0.641,0.881,0.351,0.0000404,9,0.0566,-4.051,1,0.033,104.979,4,0.677
0bI7K9Becu2dtXK1Q3cZNB,Don't Be Shy,Don't Be Shy,0.787,0.77,0.198,0,11,0.262,-3.748,0,0.0583,119.986,4,0.513
0bqNG1CGfhfE7iy6Fk5wG8,Canão Foi Tão Bom,Sabotage,0.679,0.663,0.436,0,11,0.144,-5.262,1,0.282,172.006,4,0.804
0bVtevEgtDIeRjCJbK3Lmv,Welcome To The Jungle,Appetite For Destruction,0.954,0.447,0.0235,0.403,8,0.298,-8.069,1,0.0751,123.453,4,0.331
0byjneoANrqAMJuNrUXe3E,Maldita,Maldita,0.365,0.737,0.411,0.000628,9,0.105,-4.659,1,0.245,129.972,4,0.401
0C2PSBjORelFyYFZUOnN8K,Palavras de Amigo,Uma História Assim,0.655,0.644,0.556,0,0,0.121,-8.977,1,0.0456,76.964,4,0.842
0chOJa6EheSEbjy3miQn2A,Qualquer Lugar,Qualquer Lugar,0.304,0.622,0.598,0.0000089,3,0.0936,-9.882,1,0.0283,124.937,4,0.332
0cJPLFrlV7TTCyPLupHzcH,Won't Get Fooled Again - Original Album Version,Who's Next (Deluxe Edition),0.92,0.686,0.301,0.27,2,0.0807,-6.231,1,0.0566,135.027,4,0.225
0cp7ozrey9CD7Q2yEzDwaK,Big Bum,Big Bum,0.473,0.951,0.000902,0.0000678,6,0.057,-5.274,1,0.135,134.043,4,0.759
0cqcRqZgkNHanWQ8slYA0v,Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto. Sehr langsam,Mahler : Symphony No.5,0.0523,0.0783,0.896,0.945,5,0.0806,-23.247,1,0.0471,82.015,4,0.0327
0d70EuIo3ziqTj5LvMYZCl,Un Deseo,M. O. T. A.,0.592,0.923,0.234,0.0000118,4,0.109,-4.878,1,0.0449,127.969,4,0.953
0dcHD9QhnWRA41zoLnC83X,X1,LITTLE HAIR,0.804,0.579,0.457,0,8,0.136,-5.024,1,0.0581,183.075,3,0.546
0DlHQxrVijRqVUfuS6PKaY,Deixa de Onda (Porra Nenhuma),Deixa de Onda (Porra Nenhuma),0.69,0.815,0.29,0,9,0.312,-4.622,1,0.0469,135.036,4,0.654
0DmZM13fo3Oq96ZWyHWpiL,You and Me,Born In Babylon,0.319,0.92,0.0258,0,4,0.105,-7.965,0,0.0372,113.987,4,0.439
0Do4oaG2h3BaoCj8q3nH6U,Nunca Pensei Que Fosse Tão Difícil Amar Quem Amo,Nunca Pensei Que Fosse Tão Difícil Amar Quem Amo,0.418,0.63,0.451,0.00000794,8,0.104,-9.318,1,0.0345,130.045,4,0.263
0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,Born In The U.S.A.,0.952,0.398,0.000373,0.0000775,4,0.1,-6.042,1,0.061,122.093,4,0.584
0DPm7fR4Nf7VzuIc6pGWt6,Namorando Bloqueia,Namorando Bloqueia,0.851,0.731,0.448,0,5,0.298,-1.042,0,0.071,131.894,4,0.923
0DTEFwaPFY812t6uUH5i7P,Mon amour (with Camila Cabello),Multitude,0.571,0.532,0.608,0,11,0.101,-9.481,1,0.25,172.403,3,0.904
0DUyHDBRaxFiXDf6Jhh4JD,Main Stem,Everybody Knows,0.498,0.604,0.695,0.000786,2,0.528,-9.905,1,0.0778,96.097,4,0.733
0dzMJ2pEdM7LfSZtJaQTyN,Sussu,LEXA,0.955,0.751,0.666,0,9,0.0564,-2.31,1,0.165,149.934,4,0.741
0e0FpjVh20tBrnHt3rekG0,Sincerely Yours,Love Me Forever,0.521,0.763,0.223,0,5,0.254,-11.169,1,0.0431,131.182,4,0.972
0E0OENqh3jaZ4VpDFTOLGj,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,0.659,0.955,0.411,0.00731,0,0.148,-3.531,0,0.382,129.962,4,0.495
0E8q2Fx2XuzXCO2NSAppkR,In A Sentimental Mood,Duke Ellington & John Coltrane,0.305,0.464,0.936,0.0846,3,0.208,-12.435,0,0.0316,108.229,4,0.282
0ee3Dr3rH7NSxOVcmlbsHJ,"Get Up, Stand Up",Reggae Classics,0.732,0.9,0.0113,0.000445,5,0.0445,-7.659,1,0.0686,138.83,4,0.962
0EeOlu7eTJ41MwvgJe8ZEx,Decisão,Karametade 1997,0.742,0.621,0.131,0,5,0.229,-8.98,0,0.0656,149.666,4,0.834
0eEXcw3JLVXcRxYrVYMy68,Electric Relaxation,The Anthology,0.534,0.866,0.184,0.266,11,0.0929,-9.201,1,0.229,98.243,4,0.841
0EPP4wnQKrOsQ5k0vcg2Bz,Sinal Vital,Sinal Vital,0.649,0.514,0.821,0,2,0.18,-8.746,1,0.0447,73.77,4,0.746
0ePqDlJvdIrs58EKvPb9hN,Supera - Ao Vivo,"Pagode do Pericão, Ep. 2 (Ao Vivo)",0.714,0.556,0.452,0,11,0.983,-5.973,0,0.0614,147.57,4,0.696
0ETfBmiZuhs4OfEzYr4Kvo,Nana E - Ao Vivo,"Chiclete Na Caixa, Banana No Cacho",0.931,0.521,0.403,0.00671,7,0.706,-7.791,0,0.237,151.52,4,0.663
0eumeycOAI8ew5qRzFJbEr,Mágico do Som,Mágico do Som,0.724,0.916,0.0751,0.00283,9,0.0729,-4.188,1,0.323,130.268,4,0.546
0EVhSaqb9Ig1XOvvkp48F1,Rap du Bom Parte II - Mús. Incid.: Odara,Sujeito Homem 2,0.712,0.881,0.414,0.000105,4,0.113,-6.392,0,0.171,95.014,4,0.656
0EYN8iQmNTIZz0avaUCfHC,Gratidão,Hip Hop Rare,0.445,0.719,0.127,0.00321,4,0.455,-6.631,0,0.274,94.033,4,0.375
0EZuXcsnjEmGuRYdFdcctX,Sem Sal - Ao Vivo,"Todos Os Cantos, Vol. 1 (Ao Vivo)",0.844,0.559,0.112,0,0,0.935,-3.685,1,0.124,139.385,4,0.823
0f2489MzoisF9pKduawvce,Autumn In New York,Ella And Louis Again,0.0469,0.425,0.955,0,7,0.137,-18.612,0,0.0354,135.335,4,0.154
0F845nujLVqCb0XMZCh5Pc,I Fall In Love Too Easily,Chet Baker Sings,0.0657,0.532,0.94,0.00488,0,0.0946,-19.136,0,0.0406,128.607,4,0.292
0feqEtATIldldOAUsenjRQ,Malemolência - Ao Vivo,Bloco Vai Safadão Rio de Janeiro (Ao Vivo),0.852,0.588,0.542,0,1,0.17,-7.341,0,0.192,155.536,4,0.77
0FJpeAT75XI6LImeMhpdU3,LOUCA,LOUCA,0.709,0.859,0.0473,0.000215,1,0.0715,-2.574,1,0.0486,134.919,4,0.434
0frtdZ0KWaYQJGvPvsS6YO,Take What You Want,Diamond Star Halos,0.835,0.525,0.00118,0.0000221,7,0.202,-3.522,1,0.0312,120.002,4,0.448
0Fx1OZsFHjFMVNoZVa5YHV,The Further You Look (The Less You See),4000 Volts of Holt: The Classic Albums Collection,0.7,0.54,0.0353,0,8,0.153,-8.992,1,0.103,80.046,4,0.809
0fX4oNGBWO3dSGUZcVdVV2,N95,Mr. Morale & The Big Steppers,0.67,0.79,0.377,0.00000232,1,0.119,-5.527,1,0.105,139.956,4,0.408
0GaBEO2qlE1ONCfQI1jI7q,Don't Break Your Promise,The Best of Dandy Livingstone,0.384,0.851,0.414,0.00257,5,0.0905,-12.109,0,0.0916,85.458,4,0.707
0gaCxHlLYGpGAL9mdO0kRM,Preciso Desabafar - Ao Vivo,Sapuca 10 Anos (Ao Vivo),0.576,0.599,0.785,0,7,0.836,-10.473,1,0.0349,91.997,4,0.799
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Easy On Me,0.366,0.604,0.578,0,5,0.133,-7.519,1,0.0282,141.981,4,0.13
0gRNBFAXFhq1Z8QgTd0aXI,Me Namora (feat. Edu Ribeiro) - Natiruts Reggae Brasil - Ao Vivo,Natiruts Reggae Brasil (Ao Vivo) [Deluxe],0.847,0.603,0.165,0.00000697,7,0.781,-7.516,1,0.0429,77.987,4,0.921
0guD5C1NmCWcnKZKYkbVtb,Danca Da Maozinha,Tchakabum Ao Vivo,0.887,0.576,0.231,0.11,2,0.951,-7.382,1,0.123,98.817,4,0.607
0GvrQDus6VeHSKq0Pyj0nZ,Fissuras de um Casal,"Bala, Bombom e Chocolate",0.634,0.72,0.503,0,7,0.0914,-7.222,0,0.0338,141.691,4,0.894
0gyszXQXBJ73GUAhMmnSwM,I Am What I Am,Ska & Reggae Classics,0.465,0.707,0.0165,0,2,0.108,-9.283,1,0.04,121.845,4,0.897
0gYXw7aPoybWFfB7btQ0eM,DON'T YOU WORRY,DON'T YOU WORRY,0.875,0.816,0.203,0,11,0.209,-4.821,1,0.0311,131.958,4,0.491
0h06YSqzwbAU9ZDuIvw8pk,Love Me Like a Man - 2008 Remaster,Give It Up (2008 Remaster),0.525,0.595,0.3,0.0000315,11,0.197,-11.582,0,0.0499,124.569,4,0.826
0h5iRD8nlDtcn4rwbZzNgg,Te gusta,Te gusta,0.714,0.724,0.169,0,1,0.0874,-4.443,0,0.0892,129.886,4,0.961
0h9xMQP3ctuibd4Ce2037O,Supera - Ao Vivo,Pagode do Pericão (Ao Vivo),0.714,0.556,0.452,0,11,0.983,-5.973,0,0.0614,147.568,4,0.696
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin II (1994 Remaster),0.902,0.412,0.0484,0.131,9,0.405,-11.6,1,0.405,89.74,4,0.422
0hDGrqlzFtt73WkNIKMDA8,Telegrama,Valeu Exalta!,0.675,0.534,0.273,0,11,0.183,-7.782,1,0.0337,75.648,4,0.665
0hh16Yc64BCJanCxajOo1H,Pra Te Conquistar,Pelas Ruas,0.783,0.545,0.568,0,2,0.211,-7.56,1,0.0515,82.65,4,0.846
0HjBQY85kUSCOCCKhvO4uS,Perfume / Intriga da Oposição / Desse Jeito é Ruim pra Mim - Ao Vivo,Belo - 10 Anos de Sucesso (CD2),0.73,0.523,0.694,0,5,0.59,-8.339,0,0.0785,160.005,4,0.657
0Hm5NoZ5ccwu1Qk9wkIyxY,Vai Toma Toma,Vai Toma Toma,0.872,0.76,0.399,0.0033,8,0.0745,-5.124,1,0.0755,121.17,4,0.926
0hquQWY3xvYqN4qtiquniF,Vegas (From the Original Motion Picture Soundtrack ELVIS),Vegas (From the Original Motion Picture Soundtrack ELVIS),0.601,0.801,0.0777,0.0000323,8,0.145,-7.574,0,0.255,159.969,4,0.74
0HqZX76SFLDz2aW8aiqi7G,Bones,Bones,0.742,0.773,0.0206,0,5,0.0754,-3.678,0,0.046,114.071,4,0.571
0I3q5fE6wg7LIfHGngUTnV,Ms. Jackson,Stankonia,0.806,0.843,0.143,0,4,0.0771,-5.946,0,0.269,94.948,4,0.613
0i4UV3HjjvsUuV3BajEXoD,Baile no Morro,Baile no Morro,0.404,0.714,0.457,0,3,0.0701,-7.903,0,0.453,130.088,4,0.782
0IEJUdi9Sd5adLHilalecQ,Diferenciada,Esquenta do Parango,0.915,0.804,0.782,0,8,0.134,-2.153,1,0.0335,129.988,4,0.957
0IPKskRI33eRXjUhNUr9b5,Loved You A Little (with Taking Back Sunday and Charlotte Sands),Loved You A Little (with Taking Back Sunday and Charlotte Sands),0.828,0.484,0.0288,0,11,0.313,-5.197,1,0.0543,195.999,4,0.577
0IU0HtCAk6AXO5BqWW4lwy,Videozin pra Tiktok,Videozin pra Tiktok,0.761,0.622,0.267,0,8,0.105,0.748,0,0.75,78.869,5,0.652
0IXWknMlKP5fcR6vCr1Chv,Mulher de Amigo Meu,Maxximum - Grupo Raça,0.732,0.721,0.3,0,7,0.108,-10.689,0,0.0749,95.598,4,0.955
0j2T0R9dR9qdJYsB7ciXhf,Stronger,Graduation,0.717,0.617,0.00564,0,10,0.408,-7.858,0,0.153,103.992,4,0.49
0J8G8xgnxrtusFS56J9yD3,Cinza,Cinza,0.804,0.616,0.302,0.000172,0,0.231,-5.061,1,0.0406,150.003,4,0.468
0jBhutwtzHTN6QXFIRueMx,Amor e Ousadia,Empurra o Som,0.912,0.791,0.813,0,7,0.265,-2.801,1,0.122,99.935,4,0.634
0JH8MirrrBq9TVQBX69jh9,Detalhes,Detalhes,0.528,0.795,0.244,0.00000371,1,0.371,-8.341,0,0.0781,130.001,4,0.274
0JhfFpK6b16YKcqq4ZeVIf,Tá na Minha Mira - Ao Vivo,"Eternidade, Vol. 1 (Ao Vivo)",0.762,0.639,0.765,0,11,0.882,-6.538,0,0.0559,93.944,4,0.825
0JhhnOUAvZRPcDL6JE7Jch,É Amor Que a Gente Tem,O Amor Pede Lugar,0.582,0.698,0.0334,0,3,0.0552,-6.805,1,0.0305,92.04,4,0.896
0jLk8JLejAO2Dq7igx80P8,Naipe de Vagabundo,Naipe de Vagabundo,0.705,0.814,0.477,0,11,0.112,-7.667,1,0.229,117.072,4,0.607
0jOnZhF75V68VsBObWx2XO,"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Songs from the Arc of Life,0.0161,0.169,0.986,0.86,9,0.0805,-31.034,0,0.0442,128.143,3,0.0573
0jr614Fgr0ZtKaQVnkGbk0,Capricho Dos Deuses - Ao Vivo,Netinho Ao Vivo,0.937,0.569,0.0489,0.000941,0,0.953,-10.636,1,0.0605,113.808,4,0.468
0JSux25Te5HYMSr2D64d02,Levanta e Anda,O Glorioso Retorno de Quem Nunca Esteve Aqui,0.931,0.488,0.0907,0,9,0.446,-4.185,1,0.327,87.33,4,0.823
0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,0.597,0.803,0.000619,0.0000045,11,0.323,-6.035,0,0.141,136.008,4,0.331
0k6P9cdEA9K3k0ASde2Kof,Rodrigo: Concierto de Aranjuez: II. Adagio,Aranjuez,0.098,0.253,0.93,0.862,11,0.122,-19.878,0,0.0437,84.865,4,0.062
0K6yUnIKNsFtfIpTgGtcHm,Limelight,Moving Pictures (2011 Remaster),0.854,0.581,0.00197,0.0013,1,0.111,-8.485,0,0.0428,131.18,4,0.788
0KQd3QY1Y8zC2rfO4ZBQRC,Mistadobalina,The Best Of Del Tha Funkee Homosapien [The Elektra Years]: The B-Boy Handbook,0.797,0.85,0.0964,0.00000838,10,0.34,-7.429,0,0.136,99.615,4,0.63
0kUYnVS6z9YhL22l9pDDcB,Dolphin Dance,The Awakening,0.231,0.478,0.869,0.919,4,0.101,-18.064,0,0.0302,74.937,4,0.136
0kylhGkq3G8J2Dig2RUzJK,Madagascar Olodum,Welcome To Salvador - The Street Carnival Soundtrack,0.9,0.601,0.69,0.000492,4,0.416,-7.235,0,0.0859,94.528,4,0.948
0KzvY1XHsfvZ5p5sUcdHSN,6:30,6:30,0.738,0.875,0.492,0.000119,8,0.393,-6.205,1,0.332,141.067,4,0.659
0L8xlaZs8Syzf6tHuzg1tJ,Arrasta Pra Cima,Arrasta Pra Cima,0.857,0.712,0.356,0,0,0.29,-5.45,1,0.0452,81.802,4,0.968
0l99IUIuRgLbrrzLyfmjDq,É Cedo Demais,Antiquário,0.414,0.596,0.0368,0.00000495,9,0.161,-8.115,1,0.0245,83.937,4,0.206
0LIHrvQ89YTJknvJ2VsUoG,Estado Frágil (Acústico),Estado Frágil (Acústico),0.323,0.824,0.9,0,3,0.101,-7.394,1,0.0714,123.638,4,0.773
0LjcDhacvjZN5QyCqM2UTy,Tudo Em Paz,Tudo Em Paz,0.687,0.626,0.261,0,9,0.0888,-6.06,1,0.0435,99.65,4,0.432
0LnS7aOdOdI1dNKZqdOLz4,Dua Lipa,Come Home The Kids Miss You,0.652,0.833,0.00161,0.0985,11,0.106,-6.942,1,0.0762,158.022,4,0.405
0lozAj904nKA5sb3C6aAPu,Deixa A Vida Me Levar,Zeca Pagodinho Naturalmente,0.845,0.631,0.486,0,11,0.0864,-8.08,1,0.236,105.103,4,0.807
0LW6YoAboQtyz2uKaZirV0,Na Base Do Beijo,Multishow Registro Pode Entrar,0.765,0.657,0.154,0,8,0.244,-6.552,1,0.123,146.116,4,0.896
0MA2klZtfrb4Nv1iie6HIi,Eu Também Quero Beijar,Vixi Mainha,0.745,0.774,0.12,0.00000745,1,0.0853,-5.707,0,0.0543,117.985,4,0.798
0mBP9X2gPCuapvpZ7TGDk3,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),0.592,0.881,0.619,0.0000132,2,0.0901,-4.898,1,0.0324,101.058,4,0.719
0mcgXc8P5GyGtP9aY7zir6,Piazzolla: Libertango,The Sound of Piazzolla,0.316,0.367,0.927,0.779,9,0.113,-14.49,0,0.0429,149.089,4,0.242
0MKd4uZd8Ag8qyReZBTarP,Pino da Granada (Ao Vivo em Rio Preto),Pino da Granada (Ao Vivo em Rio Preto),0.751,0.321,0.408,0,1,0.967,-5.062,1,0.0676,77.373,3,0.429
0n4JisFWNufmnouq4hnuyw,Numa Cidade Muito Longe Daqui - Polícia e Bandido - Ao Vivo,Mtv Ao Vivo Arlindo Cruz - Vol. 2,0.743,0.593,0.683,0,9,0.596,-6.989,0,0.0365,96.959,4,0.788
0N76LL52VqvTdmlT5030zV,Alucinado (Pagode do Doce Encontro) - Ao Vivo,Alucinado (Pagode do Doce Encontro) [Ao Vivo],0.778,0.194,0.266,0.0000164,1,0.971,-6.888,1,0.0988,158.79,4,0.317
0nE5LAhlotmOrADLNeU5n9,"Cello Concerto In B Minor, Op. 104, B. 191: I. Allegro",Dvořák - Great Recordings,0.132,0.231,0.963,0.671,2,0.135,-20.277,1,0.0442,121.238,4,0.0557
0nFKHCf1Ibij8m370l2KlZ,Good Times Roll - 2016 Remaster,The Elektra Years 1978 - 1987,0.689,0.631,0.0731,0.000357,4,0.102,-8.358,1,0.0284,107.667,4,0.645
0NFVg74sSsdU1gNc9xfpIO,Aonde Quer Que Eu Vá,Arquivo II 1991 - 2000,0.537,0.6,0.509,0.303,0,0.101,-7.972,1,0.0273,78.049,4,0.316
0Nj3EM5QMCIdTbWM3wzJGR,Casi q' me pierdo,El Paso Gigante,0.638,0.697,0.0216,0.00286,8,0.103,-5.246,1,0.091,165.929,4,0.598
0nkDm27DGppCSk8dnGtvPa,Não sou obrigada,Não sou obrigada,0.951,0.819,0.356,0,6,0.145,-2.896,0,0.141,153.963,4,0.963
0nvNX8clp2q7jNKGx7KZjA,O Show Tem Que Continuar - Ao Vivo,"Fundo de Quintal - 45 Anos, Vol. 1 (Ao Vivo)",0.887,0.533,0.326,0,0,0.594,-6.949,1,0.0454,94.931,4,0.836
0NYxFNo8GqZLWtbhudddCn,Tô Fraco - Ao Vivo,Axé 90 Graus (Ao Vivo),0.771,0.728,0.461,0.0000662,5,0.716,-10.133,1,0.0492,98.965,4,0.706
0NZspfNJq8C1YndmSwabMA,Rich Man Poor Man,Back To Roots,0.575,0.811,0.252,0.0000018,7,0.0865,-8.348,1,0.185,139.899,4,0.804
0O6u0VJ46W86TxN9wgyqDj,I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,0.67,0.733,0.121,0,5,0.121,-6.009,1,0.0751,100.964,4,0.472
0O9dWZhjnYjzPqqFpj4cTb,Saudade Arregaça,Saudade Arregaça,0.647,0.667,0.524,0,10,0.0613,-9.173,1,0.0381,179.895,4,0.962
0OC1kqxT04E3QC7t5vh0Tu,Foi por Esse Amor,É Festa,0.946,0.432,0.0457,0.00313,9,0.963,-5.237,0,0.126,98.638,4,0.456
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Rumours (Super Deluxe),0.492,0.828,0.0644,0.00428,0,0.128,-9.744,1,0.0276,120.151,4,0.789
0oIQl9tFpCiKBRavEIIGzo,"Pelléas et Mélisande, Op. 80: 4. Sicilienne",Fauré: Requiem; Pelléas et Mélisande; Pavane for Orchestra and Choir,0.0194,0.164,0.938,0.859,3,0.0939,-34.126,1,0.0434,101.708,3,0.0581
0OJ8KWhqLMHkfI59yh398v,Sei Que Tu Gosta Muito,Sei Que Tu Gosta Muito,0.504,0.963,0.144,0,8,0.0656,-7.255,1,0.398,129.972,4,0.963
0OJYwy8t8HHTZ81I2MYoLt,Pobre Destino,Tô Achando Que É Amor | Ep. 3,0.541,0.643,0.543,0,2,0.143,-6.532,1,0.0365,148.03,4,0.784
